Date,Real Price,Predicted Price
2015-02-11,219.18499755859375,189.10669
2015-02-12,221.76400756835938,188.58603
2015-02-13,235.427001953125,188.57849
2015-02-14,257.3210144042969,189.2538
2015-02-15,234.8249969482422,191.23904
2015-02-16,233.84300231933594,194.39716
2015-02-17,243.61000061035156,198.21803
2015-02-18,236.3260040283203,202.29346
2015-02-19,240.2830047607422,206.13992
2015-02-20,243.7790069580078,209.4296
2015-02-21,244.53399658203125,212.0565
2015-02-22,235.9770050048828,214.04626
2015-02-23,238.89199829101562,215.2834
2015-02-24,238.73500061035156,215.75285
2015-02-25,237.47000122070312,215.54047
2015-02-26,236.42599487304688,214.77429
2015-02-27,253.8280029296875,213.59439
2015-02-28,254.26300048828125,212.54755
2015-03-01,260.2019958496094,212.13634
